3487	W	PUESTO DE ISLA 
3500	H	COLONIA FLORENCIA 
3501	H	CAMPO DE GALNASI 
3503	H	BARRANQUERAS 
3505	H	ARROYO QUINTANA 
3507	H	LA EDUVIGIS 
3509	H	CAMPO EL BERMEJO 
3511	H	COLONIA CORONEL DORREGO 
3513	H	ARBOL SOLO 
3514	H	CACUI 
3515	H	CAPITAN SOLARI 
3516	H	BASAIL 
3518	H	CABRAL CUE 
3522	H	EL RETIRO 
3524	H	EL CAMPAMENTO 
3526	H	GANDOLFI 
3530	H	ALDEA FORESTAL 
3531	H	COLONIA ABORIGEN 
3532	H	CURANDU 
3534	H	COLONIA EL AGUARA 
3536	H	BOCAS 
3540	H	AVANZADA 
3541	H	CAMPO LAS PUERTAS 
3543	H	COLONIA LOTE 12 
3545	H	KILOMETRO 525 
3550	S	ALLENDE 
3551	S	CAMPO MONTE LA VIRUELA 
3553	S	COLONIA DURAN 
3555	S	CAMPO HUBER 
3557	S	CARAGUATAY 
3560	S	CAMPO UBAJO 
3561	S	AVELLANEDA 
3563	S	COLONIA SAN MANUEL 
3565	S	ARROYO DEL REY 
3567	S	DEST AERONAUTICO MILIT RECONQU 
3569	S	BARROS PAZOS 
3572	S	CAMPO GARABATO 
3574	S	CAPILLA GUADALUPE NORTE 
3575	S	ARROYO CEIBAL 
3580	S	KILOMETRO 408 
3581	S	CAMPO REDONDO 
3583	S	ISLA TIGRE 
3585	S	EL SOMBRERITO 
3586	S	CAMPO YAGUARETE 
3587	S	SAN ANTONIO DE OBLIGADO 
3589	S	KILOMETRO 23 
3592	S	COLONIA HARDY 
3620	H	KILOMETRO 184 
3621	H	POZO NAVAGAN 
3641	W	ARROYO SECO 
3700	H	BARRIO GRAL JOSE DE SAN MARTIN 
3701	H	ALMIRANTE BROWN 
3703	H	ALELOY 
3705	H	10 DE MAYO 
3706	H	AVIA TERAI 
3708	H	CONCEPCION DEL BERMEJO 
3712	H	LOS FRENTONES 
3714	H	9 DE JULIO 
3716	H	CAMPO LARGO 
3718	H	AMAMBAY 
3722	H	2 DE MAYO 
3730	H	CABRAL 
3731	H	MESON DE FIERRO 
3732	H	COLONIA ABATE 
3733	H	CAMPO EL JACARANDA 
3734	H	CAMPO MORENO 
4000	T	ESTACION DE ZOOTECNIA B 
4101	T	AGUA NEGRA 
4103	T	BAJO DE RACO 
4105	T	ABRA DEL TAFI 
4107	T	ACONQUIJA 
4109	T	ALTO NUESTRA SEÑORA DEL VALLE 
4111	T	AGUADA 
4113	T	ACOSTILLA 
4115	T	AGUA AZUL 
4117	T	ALABAMA 
4119	T	AGUA COLORADA 
4122	T	ALIZAL 
4124	T	ABRA EL CANDADO 
4126	T	EL BRETE 
4128	T	EL CARMEN 
4129	T	CAÑADA 
4132	T	AGUA AZUL 
4133	T	LA BANDA 
4134	T	ACHERAL 
4135	T	CASPINCHANGO 
4137	T	ABRA BAYA 
4139	K	AGUA AMARILLA LA HOYADA 
4141	K	FUERTE QUEMADO 
4142	T	ALTO DE LEIVA 
4143	T	INDEPENDENCIA 
4144	T	AMBERES 
4145	T	INGENIO LA PROVIDENCIA 
4146	T	BARRIO BELGRANO 
4147	T	ALTO LAS LECHUZAS 
4149	T	ALPACHIRI 
4151	T	BAJO DE LOS SUELDOS 
4152	T	AGUILARES 
4153	T	ALTO VERDE 
4155	T	CEVIL GRANDE 
4157	T	ARROYO MAL PASO 
4158	T	CAMPO DE TALAMAYO 
4159	T	ALTO EL PUESTO 
4161	T	ALONGO 
4162	T	BATIRUANA 
4163	T	HUASA PAMPA NORTE 
4164	T	BAJASTINE 
4166	T	BALDERRAMA 
4168	T	AGUA BLANCA 
4172	T	BUENA VISTA 
4174	T	AMPATA 
4176	T	ALTO DEL PUESTO 
4178	T	ABRA RICA 
4182	T	CAMPO LA FLOR LOS RALOS 
4184	T	BUSTAMANTE 
